date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
2002-04-01,TUR,TRY,Turkey,4e+06,1324500,3.02000755001888,0.28511,0.27089,0.04661,0.49848,1.38149,0.001556521325,1.71890643732838,0.82807,0.57497,0.31543,1.15864,1.43032
2003-04-01,TUR,TRY,Turkey,3750000,1600500,2.34301780693533,-0.04755,-0.21402,-0.25481,0.07314,0.95961,0.00247254272,1.74856819313126,0.49734,0.04993,0.0206,0.72288,1.02456
2004-05-01,TUR,TRY,Turkey,3950000,1531000,2.58001306335728,0.04454,-0.21532,-0.23333,0.11275,1.05409,0.00341004260506329,1.95999561963473,0.53516,0.00065,0.0169,0.64733,1.11112
2005-06-01,TUR,TRY,Turkey,4,1.369,2.9218407596786,0.1325,-0.18456,-0.15073,0.24722,1.30308,4532.865855,2.21887499379543,0.7208,0.03125,0.15826,0.95012,1.23703
2006-01-01,TUR,TRY,Turkey,4.1,1.3365,3.06771417882529,0.14896,-0.12696,-0.07491,0.40262,1.35603,5581.00136341463,2.25677276538064,0.58714,0.04306,0.17704,0.97645,1.29562
2006-05-01,TUR,TRY,Turkey,4.2,1.5415,2.72461887771651,-0.01992,-0.2767,-0.25311,0.22177,1.08265,5672.57477619048,2.38023389718627,0.41707,-0.10581,-0.01293,0.83386,1.02105
2007-01-01,TUR,TRY,Turkey,4.55,1.40975,3.22752261039191,0.11679,-0.15271,-0.15812,0.40149,1.28107,6274.81754285714,2.515669572219,0.56469,0.02898,0.09418,0.94853,1.22039
2007-06-01,TUR,TRY,Turkey,4.75,1.2981,3.6591942069178,0.21973,-0.12184,-0.08684,0.59848,1.52973,6239.39242105263,2.63829357490854,0.71679,0.0692,0.1954,1.26068,1.46631
2008-06-01,TUR,TRY,Turkey,5.15,1.19275,4.31775309159505,0.34509,-0.19184,-0.0553,0.64776,1.3606,7113.09946019418,3.14880626589388,0.84149,-0.04119,0.18373,1.28401,1.29771
2009-07-01,TUR,TRY,Turkey,5.65,1.55005,3.64504370826748,0.06269,-0.21054,-0.01172,0.05439,0.99244,7634.84792743363,2.7494677416372,0.5213,-0.01709,0.30671,0.47895,0.94941
2010-01-01,TUR,TRY,Turkey,5.65,1.47455,3.83167746092028,0.11711,-0.20898,0.04368,0.0961,1.09277,8512.00516637168,2.86760187861865,0.69322,0.01634,0.44907,0.60247,1.04037
2010-07-01,TUR,TRY,Turkey,5.95,1.5293,3.89066893349899,0.10217,-0.10199,0.11687,0.05996,0.99748,8318.47941008403,3.05560463710886,0.48888,0.07825,0.42347,0.40526,0.96408
2011-07-01,TUR,TRY,Turkey,6.5,1.72285,3.77281829526656,0.03649,-0.23447,-0.03053,-0.07607,0.65978,7766.8248,3.45921943330714,0.53237,-0.02524,0.32462,0.33266,0.63366
2012-01-01,TUR,TRY,Turkey,6.6,1.86295,3.54276819023592,-0.07014,-0.20041,-0.0734,-0.14841,0.45288,9143.15545,3.1886140329556,0.34691,0.00692,0.24348,0.21985,0.42635
2012-07-01,TUR,TRY,Turkey,8.25,1.8269,4.51584651595599,0.14037,0.03946,0.08492,0.10384,0.84342,7602.49776,3.23186252724301,0.53675,0.25771,0.36215,0.49168,0.84508
2013-01-01,TUR,TRY,Turkey,8.45,1.76875,4.7773851590106,0.18546,-0.02063,0.12457,0.35954,0.85733,8966.8968923077,3.44625478381593,0.64612,0.20737,0.44818,0.87498,0.85858
2013-07-01,TUR,TRY,Turkey,8.5,1.95745,4.34238422437355,0.03885,-0.06804,0.08018,0.35842,0.66479,9245.94264,3.30142073724764,0.44169,0.15608,0.40466,0.89584,0.66682
2014-01-01,TUR,TRY,Turkey,8.5,2.26155,3.75848422542062,-0.11357,-0.24252,-0.18767,0.26388,0.3701,10431.1826541176,3.33493738219201,0.27844,-0.04561,0.07716,0.84891,0.36568
2014-07-01,TUR,TRY,Turkey,9.25,2.09125,4.42319187089062,0.03105,-0.10706,-0.10192,0.21375,0.62226,9698.44659567568,3.41588147310824,0.48105,0.12675,0.17999,0.66482,0.62847
2015-01-01,TUR,TRY,Turkey,9.25,2.33345,3.96408750991022,-0.07597,-0.0703,-0.09252,0.2617,0.43157,11030.3649827027,3.13469983938803,0.30792,0.1503,0.1766,0.69868,0.42943
2015-07-01,TUR,TRY,Turkey,10.25,2.6457,3.8742109838606,-0.09692,-0.04433,-0.14144,0.2977,0.41504,9954.23181365854,3.02351935470656,0.28145,0.18686,0.11789,0.7532,0.42942
2016-01-01,TUR,TRY,Turkey,10.25,3.0096,3.40576820839979,-0.20611,-0.14835,-0.1933,0.0921,0.26907,11069.423382439,2.79212995439051,0.19126,0.08689,0.09661,0.5405,0.27454
2016-07-01,TUR,TRY,Turkey,10.75,3.04305,3.53263995005011,-0.21497,-0.16002,-0.10344,0.01898,0.26833,11071.2235813953,3.10894652686127,0.09811,0.03061,0.15808,0.37361,0.27168
2017-01-01,TUR,TRY,Turkey,10.75,3.91115,2.74855221610012,-0.38921,-0.32331,-0.26281,-0.15616,-0.02867,12498.1266976744,3.0691882744721,-0.16237,-0.18714,-0.07601,0.10915,-0.03686
2017-07-01,TUR,TRY,Turkey,10.75,3.57605,3.00611009353896,-0.33198,-0.32674,-0.26884,-0.1056,0.0305,12498.1266976744,3.30517857093334,-0.08573,-0.19384,-0.0931,0.1735,0.02089
2018-01-01,TUR,TRY,Turkey,10.75,3.8026,2.82701309630253,-0.38677,-0.4154,-0.3594,-0.17626,-0.10866,14112.216052093,3.48759751063301,-0.15478,-0.2968,-0.1959,0.09177,-0.124
2018-07-01,TUR,TRY,Turkey,10.75,4.70625,2.28419654714475,-0.50559,-0.5176,-0.4602,-0.34842,-0.26215,14142.8282344186,3.26197741907766,-0.30033,-0.41373,-0.30857,-0.12329,-0.27653
2019-01-01,TUR,TRY,Turkey,10.75,5.3834,1.99687929561244,-0.57603,-0.56981,-0.50973,-0.44477,-0.34555,16990.257692093,3.3045464132047,-0.41308,-0.48599,-0.38105,-0.26878,-0.36673
2019-07-09,TUR,TRY,Turkey,13.99,5.722,2.44494931842013,-0.4809,-0.46526,-0.40386,-0.31814,-0.19845,13055.4160250179,3.24895034372152,-0.27626,-0.35101,-0.24422,-0.09254,-0.19695
2020-01-14,TUR,TRY,Turkey,12.99,5.88025,2.20908974958548,-0.54168,-0.51788,-0.4991,-0.3767,-0.29258,17018.657482679,3.39072422294502,-0.37777,-0.43063,-0.38635,-0.1962,-0.30579
2020-07-01,TUR,TRY,Turkey,13.99,6.8595,2.03950725271521,-0.57687,-0.57387,-0.52318,-0.439,-0.34177,15802.1701715511,3.33435384077028,-0.40417,-0.48683,-0.39885,-0.25249,-0.3493
2021-01-01,TUR,TRY,Turkey,14.99,7.4705,2.00655913258818,-0.58966,-0.61143,-0.54784,-0.4634,-0.41997,16938.7893882588,3.54408053829781,-0.44699,-0.54483,-0.44188,-0.31573,-0.42661
2021-07-01,TUR,TRY,Turkey,19.99,8.55725,2.33603085103275,-0.52616,-0.53706,-0.50825,-0.34151,-0.32425,12805.8752581291,3.45330431795526,-0.35151,-0.44633,-0.38993,-0.14336,-0.3117
2022-01-01,TUR,TRY,Turkey,24.99,13.4155,1.86277067571093,-0.6304,-0.62405,-0.61325,-0.44965,-0.51405,12177.3696806723,3.47479889295849,-0.49505,-0.55418,-0.52699,-0.28298,-0.50443
2022-07-01,TUR,TRY,Turkey,47,17.565,2.6757756902932,-0.48043,-0.43846,-0.39735,-0.05411,-0.24773,6616.04699361702,3.45723778946374,-0.31232,-0.34115,-0.27212,0.21048,-0.20999
2023-01-01,TUR,TRY,Turkey,75,18.8055,3.98819494296881,-0.25593,-0.2376,-0.14548,0.26552,0.12734,6123.9048416,3.89432956581763,-0.06125,-0.13057,-0.0016,0.52733,0.1816
2023-07-01,TUR,TRY,Turkey,95,26.92675,3.52809009627972,-0.36773,-0.39395,-0.34557,0.11394,0.00812,5033.09932484211,4.15060382697512,-0.20992,-0.31648,-0.24641,0.32226,0.05775
2024-01-01,TUR,TRY,Turkey,120,30.25475,3.96631933828572,-0.30293,-0.324,-0.30542,0.30324,0.14251,8346.72112433334,4.15437246187854,-0.11481,-0.23539,-0.20075,0.54795,0.19139
2024-07-01,TUR,TRY,Turkey,155,33.1104,4.68130859186238,-0.17727,-0.22748,-0.20597,0.4674,0.32685,6461.97764464516,4.21889156910452,0.02928,-0.13493,-0.09521,0.70839,0.38528
2025-01-01,TUR,TRY,Turkey,190,35.74025,5.31613516973161,-0.08184,-0.10697,-0.07154,0.70953,0.511,9475.54167252632,4.2113750689186,0.17031,0.00488,0.07082,1.01704,0.57212
2025-06-01,TUR,TRY,Turkey,240,40,6
